symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
ARVINDFASN,2022-09-26,2022-09-27,311.67724999999996,295.9,593,-9794.580999999976,-5.299392239889168,-0.43366218353911,1,ema_close
APOLLOTYRE,2022-09-19,2022-09-28,285.01075,270.0,662,-10383.966499999951,-5.503564339239811,-0.4503420110103843,7,ema_close
HCG,2022-09-27,2022-09-29,272.7559895,272.68,653,-494.7712434999994,-0.2777902334569995,-0.02272887384968725,2,ema_close
GMMPFAUDLR,2022-08-03,2022-10-12,1744.500375,1858.0,103,11212.026374999987,6.239873981110486,0.5106461205033758,46,ema_close
SBCL,2022-09-29,2022-10-12,463.505875,497.0,394,12707.140250000026,6.958191198763138,0.5693552266603716,8,ema_close
RVNL,2022-10-12,2022-10-21,37.0925,35.95,5169,-6370.146374999982,-3.3224371503673154,-0.2718974076116926,7,ema_close
RENUKA,2022-09-21,2022-10-24,55.488375,59.5,3437,13276.701375000004,6.9615933067061375,0.5690426648498359,22,ema_close
HBLENGINE,2022-10-12,2022-11-01,114.18475,104.0,1679,-17536.73524999997,-9.147237262419003,-0.7484727422562202,13,ema_close
LTFOODS,2022-09-19,2022-11-02,104.25999999999999,120.9,1811,29587.66525000005,15.670199501246909,1.282397959183676,30,ema_close
KPITTECH,2022-09-26,2022-11-10,652.6274999999999,671.0,283,4724.685000000027,2.5581208269648608,0.20934825543120608,30,ema_close
HFCL,2022-11-02,2022-11-11,82.90675,79.15,2392,-9459.46299999996,-4.769967463445356,-0.3901275063506529,6,ema_close
RITES,2022-09-30,2022-11-14,162.37101525,184.22,1140,24382.815615,13.172569449706634,1.0779909435329929,28,ema_close
TRITURBINE,2022-10-04,2022-11-14,256.13874999999996,271.3,324,4692.492000000013,5.654357257541095,0.4627341347497923,26,ema_close
BHEL,2022-10-21,2022-11-16,66.816625,70.65,2818,10304.721500000014,5.4728145876868295,0.4477675906509732,16,ema_close
KALYANKJIL,2022-08-24,2022-11-17,77.54337499999998,101.0,2279,52882.20087500007,29.924058631701335,2.4468214111537376,57,ema_close
