"Sr.","Stock Name","Symbol","close","%_change","volume","Add Column"
320,"Wheels India Limited","WHEELS","2,235","-3.37%","3,38,673",""
321,"Gp Petroleums Limited","GULFPETRO","63.5","-3.41%","57,095",""
322,"Updater Services Ltd","UDS","206.64","-3.47%","62,307",""
323,"Themis Medicare Limited","THEMISMED","127.46","-3.49%","77,198",""
324,"Ifci Limited","IFCI","82.18","-3.49%","9,68,85,984",""
325,"Iol Chemicals And Pharmaceuticals Limited","IOLCP","203.95","-3.54%","25,41,414",""
326,"Universal Cables Limited","UNIVCABLES","1,499.8","-3.67%","1,03,534",""
327,"Stallion India Fluorochemicals Ltd","STALLION","225","-3.95%","3,53,072",""
328,"Bluspring Enterprises Ltd","BLUSPRING","132","-3.97%","3,39,669",""
329,"Asahi Songwon Colors Limited","ASAHISONG","360.1","-4.14%","20,715",""
330,"Shah Alloys Limited","SHAHALLOYS","92.6","-4.3%","48,821",""
331,"Jindal Worldwide Limited","JINDWORLD","52.77","-5.16%","1,11,66,026",""
332,"Kavveri Defence & Wireless Technologies Ltd","KAVDEFENCE","69.61","-6.9%","11,89,355",""
333,"Ratnaveer Precision Engineering Ltd","RATNAVEER","286.6","-7.73%","24,02,270",""
